n,dimension,trial_index,num_pairs,average_pairwise_cosine_similarity,variance_pairwise_cosine_similarity
2,5,0,1,0.8482295451063392,0.0
2,5,1,1,0.5771825476192525,0.0
2,5,2,1,0.841019364714057,0.0
2,5,3,1,0.7917044709139281,0.0
2,5,4,1,0.9168375368016379,0.0
2,5,5,1,0.7988162597788331,0.0
2,5,6,1,0.6498926738532724,0.0
2,5,7,1,0.9157252046583004,0.0
2,5,8,1,0.8330196294968748,0.0
2,5,9,1,0.7646516739683467,0.0
2,5,10,1,0.7164461687710741,0.0
2,5,11,1,0.2751526068596477,0.0
2,5,12,1,0.6517409926512817,0.0
2,5,13,1,0.9352709220583602,0.0
2,5,14,1,0.8439038920379204,0.0
2,5,15,1,0.8025369811698552,0.0
2,5,16,1,0.9394671285419376,0.0
2,5,17,1,0.7876211507593694,0.0
2,5,18,1,0.6737750980329811,0.0
2,5,19,1,0.6354267191808829,0.0
2,5,20,1,0.6682160560541389,0.0
2,5,21,1,0.8599731831290596,0.0
2,5,22,1,0.6938282073293994,0.0
2,5,23,1,0.7320987056528918,0.0
2,5,24,1,0.9057489535797515,0.0
2,5,25,1,0.7055541753960853,0.0
2,5,26,1,0.6873061356035923,0.0
2,5,27,1,0.9834150238809592,0.0
2,5,28,1,0.8196796319934747,0.0
2,5,29,1,0.9935325761815503,0.0
2,5,30,1,0.8557802920142752,0.0
2,5,31,1,0.8244059778741003,0.0
2,5,32,1,0.9148717845205986,0.0
2,5,33,1,0.8629714820987766,0.0
2,5,34,1,0.8685857672856224,0.0
2,5,35,1,0.7224506318488879,0.0
2,5,36,1,0.5299925373714859,0.0
2,5,37,1,0.8910787652942898,0.0
2,5,38,1,0.6583521944284931,0.0
2,5,39,1,0.852697633055121,0.0
2,5,40,1,0.48516042179229624,0.0
2,5,41,1,0.9466017518608244,0.0
2,5,42,1,0.9414438615373503,0.0
2,5,43,1,0.9248313139577276,0.0
2,5,44,1,0.8398614700755321,0.0
2,5,45,1,0.9423721270875794,0.0
2,5,46,1,0.973558360147565,0.0
2,5,47,1,0.6582032068966338,0.0
2,5,48,1,0.9421476805124893,0.0
2,5,49,1,0.9455558905685412,0.0
2,5,50,1,0.6038000008077816,0.0
2,5,51,1,0.9619423353510552,0.0
2,5,52,1,0.792825549665784,0.0
2,5,53,1,0.6868701875530031,0.0
2,5,54,1,0.8408936466392701,0.0
2,5,55,1,0.8633419286961108,0.0
2,5,56,1,0.6125611077271058,0.0
2,5,57,1,0.9265042908270812,0.0
2,5,58,1,0.8687219033176713,0.0
2,5,59,1,0.7881848859872121,0.0
2,5,60,1,0.5330726896379073,0.0
2,5,61,1,0.9130998488350182,0.0
2,5,62,1,0.886997888845693,0.0
2,5,63,1,0.7069815691166572,0.0
2,5,64,1,0.6078591909555037,0.0
2,5,65,1,0.6216807588784887,0.0
2,5,66,1,0.737379336111691,0.0
2,5,67,1,0.3543790300417845,0.0
2,5,68,1,0.8961284387062957,0.0
2,5,69,1,0.9060444584752009,0.0
2,5,70,1,0.5216918912085282,0.0
2,5,71,1,0.8246312964911882,0.0
2,5,72,1,0.868751682550348,0.0
2,5,73,1,0.8589531477422346,0.0
2,5,74,1,0.6851724591979441,0.0
2,5,75,1,0.7467040348304151,0.0
2,5,76,1,0.932854294473286,0.0
2,5,77,1,0.7457558554546516,0.0
2,5,78,1,0.518578113333496,0.0
2,5,79,1,0.8348901870739415,0.0
2,5,80,1,0.8386631115845522,0.0
2,5,81,1,0.872173962247443,0.0
2,5,82,1,0.9126271302552322,0.0
2,5,83,1,0.5936454983344689,0.0
2,5,84,1,0.8701554269342324,0.0
2,5,85,1,0.8047651190053539,0.0
2,5,86,1,0.8771247329711425,0.0
2,5,87,1,0.7694311919911296,0.0
2,5,88,1,0.9140915439392822,0.0
2,5,89,1,0.980828565423838,0.0
2,5,90,1,0.8648255353716834,0.0
2,5,91,1,0.8760829344898263,0.0
