game_label,experiment_family,n_agents,competition_key,run_count
game1,homogeneous_adversary,2,comp=0.00,20
game1,homogeneous_adversary,2,comp=0.25,20
game1,homogeneous_adversary,2,comp=0.50,20
game1,homogeneous_adversary,2,comp=0.75,20
game1,homogeneous_adversary,2,comp=1.00,20
game1,homogeneous_adversary,4,comp=0.00,20
game1,homogeneous_adversary,4,comp=0.25,19
game1,homogeneous_adversary,4,comp=0.50,16
game1,homogeneous_adversary,4,comp=0.75,14
game1,homogeneous_adversary,4,comp=1.00,17
game1,homogeneous_adversary,6,comp=0.00,18
game1,homogeneous_adversary,6,comp=0.25,15
game1,homogeneous_adversary,6,comp=0.50,15
game1,homogeneous_adversary,6,comp=0.75,13
game1,homogeneous_adversary,6,comp=1.00,16
game1,homogeneous_adversary,8,comp=0.00,16
game1,homogeneous_adversary,8,comp=0.25,10
game1,homogeneous_adversary,8,comp=0.50,14
game1,homogeneous_adversary,8,comp=0.75,12
game1,homogeneous_adversary,8,comp=1.00,10
game1,homogeneous_adversary,10,comp=0.00,17
game1,homogeneous_adversary,10,comp=0.25,14
game1,homogeneous_adversary,10,comp=0.50,11
game1,homogeneous_adversary,10,comp=0.75,14
game1,homogeneous_adversary,10,comp=1.00,15
game1,homogeneous_control,2,comp=0.00,2
game1,homogeneous_control,2,comp=0.25,2
game1,homogeneous_control,2,comp=0.50,2
game1,homogeneous_control,2,comp=0.75,2
game1,homogeneous_control,2,comp=1.00,2
game1,homogeneous_control,4,comp=0.00,2
game1,homogeneous_control,4,comp=0.25,2
game1,homogeneous_control,4,comp=0.50,2
game1,homogeneous_control,4,comp=0.75,2
game1,homogeneous_control,4,comp=1.00,2
game1,homogeneous_control,6,comp=0.00,2
game1,homogeneous_control,6,comp=0.25,2
game1,homogeneous_control,6,comp=0.50,2
game1,homogeneous_control,6,comp=0.75,2
game1,homogeneous_control,6,comp=1.00,2
game1,homogeneous_control,8,comp=0.00,2
game1,homogeneous_control,8,comp=0.25,2
game1,homogeneous_control,8,comp=0.50,2
game1,homogeneous_control,8,comp=0.75,2
game1,homogeneous_control,8,comp=1.00,2
game1,homogeneous_control,10,comp=0.00,1
game1,homogeneous_control,10,comp=0.25,1
game1,homogeneous_control,10,comp=0.50,2
game1,homogeneous_control,10,comp=0.75,2
game1,homogeneous_control,10,comp=1.00,2
game2,homogeneous_adversary,2,"rho=-1.000, theta=0.20",20
game2,homogeneous_adversary,2,"rho=-1.000, theta=0.80",17
game2,homogeneous_adversary,2,"rho=0.900, theta=0.20",20
game2,homogeneous_adversary,2,"rho=0.900, theta=0.80",19
game2,homogeneous_adversary,4,"rho=-0.320, theta=0.20",17
game2,homogeneous_adversary,4,"rho=-0.320, theta=0.80",16
