game_label,experiment_family,n_agents,competition_key,run_count
game1,heterogeneous_random,2,comp=0.00,18
game1,heterogeneous_random,2,comp=0.25,8
game1,heterogeneous_random,2,comp=0.50,12
game1,heterogeneous_random,2,comp=0.75,12
game1,heterogeneous_random,2,comp=1.00,14
game1,heterogeneous_random,4,comp=0.00,6
game1,heterogeneous_random,4,comp=0.25,5
game1,heterogeneous_random,4,comp=0.50,7
game1,heterogeneous_random,4,comp=0.75,7
game1,heterogeneous_random,4,comp=1.00,6
game1,heterogeneous_random,6,comp=0.00,5
game1,heterogeneous_random,6,comp=0.25,5
game1,heterogeneous_random,6,comp=0.50,3
game1,homogeneous_adversary,2,comp=0.00,11
game1,homogeneous_adversary,2,comp=0.25,5
game1,homogeneous_adversary,2,comp=0.50,8
game1,homogeneous_adversary,2,comp=0.75,9
game1,homogeneous_adversary,2,comp=1.00,11
game1,homogeneous_adversary,4,comp=0.00,2
game1,homogeneous_control,2,comp=0.00,2
game1,homogeneous_control,2,comp=0.50,1
game1,homogeneous_control,2,comp=0.75,1
