game_label,n_agents,competition_key,competition_value,run_count,elo_variance_mean,elo_variance_std,utility_gini_mean,utility_gini_std,mean_utility,consensus_rate,elo_variance_sem,utility_gini_sem
game1,2,comp=0.00,0.0,17,1970.1176470588234,2316.535522940263,0.003975603792732717,0.012513823596943304,99.26470588235294,1.0,561.8423909751851,0.003035048027679057
game1,2,comp=0.25,0.25,7,2929.535714285714,6128.865877666812,0.047893755555450536,0.03028088031510529,79.33571428571429,1.0,2316.4935615965715,0.011445096970554252
game1,2,comp=0.50,0.5,11,2757.0454545454545,2390.5092209040467,0.06425688015226141,0.018982049652601727,69.8715,1.0,720.7656494203213,0.005723303313597818
game1,2,comp=0.75,0.75,12,2540.7291666666665,3495.064013684698,0.0578323868213701,0.03296268868463835,63.791666666666664,1.0,1008.9380745679172,0.009515508592644892
game1,2,comp=1.00,1.0,14,1243.3392857142858,1665.3882736442447,0.12785714285714286,0.10467374745652995,46.5,1.0,445.0937382805493,0.02797523574085967
game1,4,comp=0.00,0.0,3,6392.208333333333,4186.515451578088,0.0,0.0,100.0,1.0,2417.085822935137,0.0
game1,4,comp=0.25,0.25,2,4373.96875,2007.7855110053774,0.07776587594347653,0.012354605315124476,63.0875,1.0,1419.7187499999998,0.00873602519720788
game1,4,comp=0.50,0.5,2,6287.09375,1038.6072790415658,0.07661133760434867,0.07368269555462617,48.2,1.0,734.4062499999999,0.05210153368278004
game1,4,comp=0.75,0.75,3,3514.1458333333335,967.4860713090827,0.14426295365574304,0.16284362025052398,39.416666666666664,1.0,558.5783437075124,0.09401780798745323
game1,4,comp=1.00,1.0,4,3830.328125,2293.034964830431,0.14375,0.0969858237063541,23.75,1.0,1146.5174824152155,0.04849291185317705
