game_label,experiment_family,n_agents,competition_key,run_count
game1,heterogeneous_random,2,comp=0.00,17
game1,heterogeneous_random,2,comp=0.25,7
game1,heterogeneous_random,2,comp=0.50,11
game1,heterogeneous_random,2,comp=0.75,12
game1,heterogeneous_random,2,comp=1.00,14
game1,heterogeneous_random,4,comp=0.00,3
game1,heterogeneous_random,4,comp=0.25,2
game1,heterogeneous_random,4,comp=0.50,2
game1,heterogeneous_random,4,comp=0.75,3
game1,heterogeneous_random,4,comp=1.00,4
game1,homogeneous_adversary,2,comp=0.00,8
game1,homogeneous_adversary,2,comp=0.25,4
game1,homogeneous_adversary,2,comp=0.50,7
game1,homogeneous_adversary,2,comp=0.75,9
game1,homogeneous_adversary,2,comp=1.00,10
game1,homogeneous_adversary,4,comp=0.00,1
game1,homogeneous_control,2,comp=0.00,2
game1,homogeneous_control,2,comp=0.50,1
game1,homogeneous_control,2,comp=0.75,1
