path,status,audit_ids,directory_selector_overlap
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/commit-config.yaml,unresolved-do-not-delete,,
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/hooks/notification.py,needed,e43;e44,
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/hooks/post_tool_use.py,needed,e43;e44,
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/hooks/pre_tool_use_simple.py,needed,e43;e44,
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/hooks/stop.py,needed,e43;e44,
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/hooks/subagent_stop.py,needed,e43;e44,
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/scripts/analyze-logs.py,unresolved-do-not-delete,,
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/scripts/auto-commit-research.py,unresolved-do-not-delete,,
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/scripts/extract-claude-session.py,unresolved-do-not-delete,,
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/scripts/format-python.py,needed,e43;e44,
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/scripts/log-activity.py,unresolved-do-not-delete,,
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/scripts/notify.py,needed,e43;e44,
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/scripts/test-commit-message.py,unresolved-do-not-delete,,
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/scripts/test-file-organization-hook.py,unresolved-do-not-delete,,
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/scripts/validate-file-organization.py,needed,e43;e44,
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/scripts/validate-no-mock.py,needed,e43;e44,
/scratch/gpfs/DANQIC/jz4391/bargain/.claude/worktrees/contract-negotiation/.claude/commit-config.yaml,protected-other-git-worktree,e43,
