adversary_model,adversary_short,adversary_elo,num_runs,avg_baseline_utility,std_baseline_utility
llama-3.2-1b-instruct,Llama 3.2 1B,1110,18,24.00166666666667,22.098043465429242
llama-3.2-3b-instruct,Llama 3.2 3B,1166,18,18.271464361111114,18.91610372237114
llama-3.1-8b-instruct,Llama 3.1 8B,1211,18,32.44228525555556,19.18174815787404
amazon-nova-micro-v1.0,Nova Micro,1240,18,28.483333333333334,25.90196260260343
claude-3-haiku-20240307,Claude 3 Haiku,1260,18,24.084566666666667,19.537887081627954
command-r-plus-08-2024,Command R+,1276,18,23.130156111111113,17.60638392747836
amazon-nova-pro-v1.0,Nova Pro,1290,18,30.770601666666664,19.60806986744212
qwen2.5-72b-instruct,Qwen2.5 72B,1302,15,21.153333333333332,14.571061122039886
gpt-4o-mini-2024-07-18,GPT-4o mini,1317,18,28.049996416055556,22.383629821591086
llama-3.3-70b-instruct,Llama 3.3 70B,1318,18,29.745644444444444,21.064574206056697
gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,18,9.08733611111111,14.74720245498377
qwq-32b,QwQ-32B,1336,18,29.006988617222223,22.95371244243005
gpt-4o-2024-05-13,GPT-4o,1345,18,31.590042222222223,21.904734807374805
deepseek-v3,DeepSeek V3,1358,18,33.018947072222225,23.534518910819546
o3-mini-high,o3-mini-high,1363,18,24.06675,18.52328062514995
gemma-3-27b-it,Gemma 3 27B,1365,18,25.94556081111111,20.837649521324757
claude-sonnet-4-20250514,Sonnet 4,1389,18,35.27827777777778,18.529099287953517
deepseek-r1,DeepSeek R1,1398,18,28.70893837222222,20.40567180554354
claude-haiku-4-5-20251001,Haiku 4.5,1407,18,31.993966666666665,17.284323172458908
deepseek-r1-0528,DeepSeek R1-0528,1422,18,23.772082222222224,16.598524982641464
qwen3-max-preview,Qwen3 Max,1435,18,31.898388888888892,16.69579766534378
gemini-2.5-pro,Gemini 2.5 Pro,1448,18,28.833666666666666,20.295452629701177
claude-opus-4-5-20251101,Opus 4.5,1468,18,32.570105166666664,23.371300203306774
claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,18,28.593633333333337,17.758403274600262
gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,18,28.78338888888889,15.605392647482432
gpt-5.4-high,GPT-5.4 High,1484,18,30.188888888888886,19.73043042806069
gemini-3-pro,Gemini 3 Pro,1486,18,37.53267444444444,19.620733107132484
claude-opus-4-6,Opus 4.6,1499,18,29.926594444444447,19.220022141462337
claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,18,31.509293075555554,19.714088716634507
