competition_value,competition_curve_label,adversary_model,adversary_short,adversary_elo,num_runs,avg_baseline_utility,std_baseline_utility
0.0,CI2=0,gpt-3.5-turbo-0125,GPT-3.5,1223,10,84.9773,19.574407689889366
0.0,CI2=0,gemini-3-flash,Gemini 3 Flash,1474,10,82.0488,19.220679118074887
0.0,CI2=0,grok-4,Grok-4,1491,1,72.0,0.0
0.0,CI2=0,claude-opus-4-6,Opus 4.6,1499,10,83.88851,15.315641588941025
0.25,CI2=0.25,gpt-3.5-turbo-0125,GPT-3.5,1223,2,77.75,1.6300000000000026
0.25,CI2=0.25,gemini-3-flash,Gemini 3 Flash,1474,2,78.34395,5.776049999999984
0.25,CI2=0.25,claude-opus-4-6,Opus 4.6,1499,2,74.3395,0.8194999999999908
0.5,CI2=0.5,gpt-3.5-turbo-0125,GPT-3.5,1223,4,72.26595,21.478481878556966
0.5,CI2=0.5,gemini-3-flash,Gemini 3 Flash,1474,4,63.227000000000004,13.542454522722238
0.5,CI2=0.5,claude-opus-4-6,Opus 4.6,1499,4,78.25139300000001,13.919530304408518
1.0,CI2=1,gpt-3.5-turbo-0125,GPT-3.5,1223,2,78.2325,7.852500000000006
1.0,CI2=1,gemini-3-flash,Gemini 3 Flash,1474,2,62.7038,8.466199999999997
1.0,CI2=1,claude-opus-4-6,Opus 4.6,1499,2,75.4485,12.511499999999995
